StateFIPS,CountyFIPS,Name,Total,Employed,Unemployed
05,047,"Franklin County, AR",7378,7079,299
05,049,"Fulton County, AR",4675,4472,203
05,051,"Garland County, AR",40152,38421,1731
05,053,"Grant County, AR",8288,7989,299
05,055,"Greene County, AR",19839,18987,852
05,057,"Hempstead County, AR",10019,9643,376
05,059,"Hot Spring County, AR",14139,13582,557
05,061,"Howard County, AR",5989,5793,196
05,063,"Independence County, AR",16039,15243,796
05,065,"Izard County, AR",4976,4696,280
05,067,"Jackson County, AR",6068,5689,379
05,069,"Jefferson County, AR",28373,26779,1594
05,071,"Johnson County, AR",10551,10049,502
05,073,"Lafayette County, AR",2586,2435,151
05,075,"Lawrence County, AR",6929,6628,301
05,077,"Lee County, AR",3098,2951,147
05,079,"Lincoln County, AR",4102,3904,198
05,081,"Little River County, AR",5602,5339,263
05,083,"Logan County, AR",9145,8724,421
05,085,"Lonoke County, AR",33442,32327,1115
05,087,"Madison County, AR",7297,7063,234
05,089,"Marion County, AR",6532,6271,261
05,091,"Miller County, AR",19904,19067,837
05,093,"Mississippi County, AR",18099,16869,1230
05,095,"Monroe County, AR",2886,2747,139
05,097,"Montgomery County, AR",3133,2972,161
05,099,"Nevada County, AR",3650,3515,135
05,101,"Newton County, AR",3417,3284,133
05,103,"Ouachita County, AR",9897,9399,498
05,105,"Perry County, AR",4174,3974,200
05,107,"Phillips County, AR",6668,6274,394
05,109,"Pike County, AR",4228,4048,180
05,111,"Poinsett County, AR",10108,9675,433
05,113,"Polk County, AR",8194,7794,400
05,115,"Pope County, AR",29332,27981,1351
05,117,"Prairie County, AR",3656,3516,140
05,119,"Pulaski County, AR",187419,180752,6667
05,121,"Randolph County, AR",6534,6232,302
05,123,"St. Francis County, AR",8855,8394,461
05,125,"Saline County, AR",56952,55170,1782
05,127,"Scott County, AR",4469,4305,164
05,129,"Searcy County, AR",2994,2857,137
05,131,"Sebastian County, AR",57697,55543,2154
05,133,"Sevier County, AR",5704,5427,277
05,135,"Sharp County, AR",6062,5731,331
05,137,"Stone County, AR",4748,4504,244
05,139,"Union County, AR",16401,15504,897
05,141,"Van Buren County, AR",6113,5692,421
05,143,"Washington County, AR",118574,115300,3274
05,145,"White County, AR",34092,32318,1774
05,147,"Woodruff County, AR",2974,2811,163
05,149,"Yell County, AR",8700,8311,389
06,001,"Alameda County, CA",831827,796037,35790
06,003,"Alpine County, CA",554,518,36
06,005,"Amador County, CA",14525,13658,867
06,007,"Butte County, CA",101648,94909,6739
06,009,"Calaveras County, CA",20798,19615,1183
06,011,"Colusa County, CA",10908,9205,1703
06,013,"Contra Costa County, CA",553221,528401,24820
06,015,"Del Norte County, CA",9755,9019,736
06,017,"El Dorado County, CA",88824,84248,4576
