FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
01,051,81563,7,Multiple counties,23.151,3543,558,138,421,5,12,21,99,56,345,17,3,461,27,90,6,38,35,27,0,19,170,37,11,5,2,19,132,20,31,19,63,0,0,0,0,28,159,39,104,33,0,1748,0,0,0
01,053,37596,5,One cnty,100.0,1385,243,78,165,4,0,7,67,26,133,3,3,179,9,38,2,14,20,8,0,4,115,16,8,0,6,2,99,23,13,32,31,0,0,0,0,0,102,6,89,24,0,532,0,0,0
01,055,101666,11,Multiple counties,97.9411,3588,641,185,456,7,4,35,139,93,335,23,5,461,41,153,27,70,30,47,0,12,415,73,10,3,0,59,342,34,45,11,252,0,0,0,0,131,167,25,93,12,0,1262,0,0,0
01,057,15883,3,Multiple counties,65.9846,427,39,9,31,0,0,0,8,8,21,1,0,56,1,7,0,3,6,4,0,2,40,6,5,0,0,0,34,5,9,5,15,0,0,0,0,5,17,8,17,4,0,217,0,0,0
01,059,31613,5,One cnty,9.8852,1196,157,40,116,2,2,5,31,20,89,6,2,147,12,34,1,16,10,15,0,5,90,13,3,1,1,8,77,17,15,10,34,0,0,0,0,9,68,26,61,12,0,534,0,0,0
01,061,26703,5,Multiple counties,100.0,1283,155,60,95,3,7,4,46,31,57,7,0,185,7,78,8,14,10,7,0,6,74,8,0,1,0,7,66,12,10,1,43,0,0,0,0,11,41,15,25,15,0,632,0,0,0
01,063,8358,2,One cnty,66.5171,114,20,9,11,0,0,0,9,4,8,0,0,19,0,0,0,0,2,2,0,0,6,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,5,2,6,2,0,49,0,0,0
01,065,15657,3,Multiple counties,91.1813,236,28,13,15,0,0,2,11,3,12,0,0,44,5,11,0,6,6,2,0,1,11,4,1,2,0,1,7,2,4,0,0,0,0,0,0,3,21,0,15,0,0,83,0,0,0
01,067,17159,4,Multiple counties,96.9928,853,66,28,38,1,2,1,24,8,25,5,0,90,6,30,2,6,4,8,0,1,67,11,1,0,7,3,55,8,8,19,19,0,0,0,0,6,35,7,11,7,0,505,0,0,0
01,069,105658,9,Multiple counties,97.7168,7024,1199,255,944,16,23,64,152,132,769,41,2,632,39,134,0,64,44,46,0,41,632,58,7,4,16,31,574,91,79,253,151,0,0,0,0,10,195,30,250,58,8,3642,0,0,0
